age,sex,experience,previous_infractions,illness
60,0,16,3,1
30,1,3,6,1
34,1,16,9,0
39,0,0,6,1
61,0,19,9,0
34,0,10,10,0
27,1,7,1,0
53,1,28,4,0
23,1,2,10,0
35,0,10,3,0
29,1,4,9,0
85,1,0,6,0
22,0,4,1,0
70,0,14,3,0
81,1,33,3,0
33,1,2,5,1
82,1,9,4,0
64,1,33,2,0
26,0,4,1,0
19,0,1,10,0
21,0,0,3,0
55,0,6,2,0
20,1,1,6,0
59,1,20,10,0
68,0,13,8,0
74,0,47,9,0
32,1,0,5,0
56,1,2,0,0
44,0,22,6,0
55,1,8,8,0
85,0,7,9,0
18,1,0,4,0
59,1,34,9,0
51,1,15,3,1
32,0,2,9,0
82,0,17,7,0
26,0,2,6,0
69,1,33,4,0
59,1,27,9,0
22,0,2,1,0
